COUNTYA,AQNFE001,AQO9E001,AQO9E002,AQO9E003,AQO9E004,AQO9E005,AQO9E006,AQO9E007,AQO9E008,AQO9E009,AQO9E010,AQO9E011,AQO9E012,AQO9E013,AQO9E014,AQO9E015,AQO9E016,AQO9E017,AQO9E018,AQO9E019,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP5E001,AQP5E002,AQP5E003,AQP5E004,AQP5E005,AQP5E006,AQP5E007,AQP5E008,AQP5E009,AQP5E010,AQP5E011,AQP5E012,AQP5E013,AQP5E014,AQP5E015,AQP5E016,AQP5E017,AQP6E001,AQTOE001,AQTOE002,AQTOE003,AQTOE004,AQTOE005,AQTOE006,AQTOE007,AQTOE008,AQTOE009,AQTOE010,AQTOE011,AQTOE012,AQTOE013,AQUSE001,AQUYE001,AQUYE002,AQUYE003,AQUYE004,AQUYE005,AQUYE006,AQUYE007,AQUYE008,AQUYE009,AQUYE010,AQUYE011,AQU4E001,AQVWE001,AQVWE002,AQVWE003,AQVWE004,AQVWE005,AQVWE006,AQVWE007,AQVWE008,AQVWE009,AQVWE010,AQVWE011,AQVWE012,AQVWE013,NAME_M,AQNFM001,AQO9M001,AQO9M002,AQO9M003,AQO9M004,AQO9M005,AQO9M006,AQO9M007,AQO9M008,AQO9M009,AQO9M010,AQO9M011,AQO9M012,AQO9M013,AQO9M014,AQO9M015,AQO9M016,AQO9M017,AQO9M018,AQO9M019,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008,AQP5M001,AQP5M002,AQP5M003,AQP5M004,AQP5M005,AQP5M006,AQP5M007,AQP5M008,AQP5M009,AQP5M010,AQP5M011,AQP5M012,AQP5M013,AQP5M014,AQP5M015,AQP5M016,AQP5M017,AQP6M001,AQTOM001,AQTOM002,AQTOM003,AQTOM004,AQTOM005,AQTOM006,AQTOM007,AQTOM008,AQTOM009,AQTOM010,AQTOM011,AQTOM012,AQTOM013,AQUSM001,AQUYM001,AQUYM002,AQUYM003,AQUYM004,AQUYM005,AQUYM006,AQUYM007,AQUYM008,AQUYM009,AQUYM010,AQUYM011,AQU4M001,AQVWM001,AQVWM002,AQVWM003,AQVWM004,AQVWM005,AQVWM006,AQVWM007,AQVWM008,AQVWM009,AQVWM010,AQVWM011,AQVWM012,AQVWM013
1,1663823,1611789,402474,25893,20723,16591,18324,18047,18251,18513,18608,16517,18202,18806,17503,19599,20952,102328,33617,1209315,1637215,77888,71955,39636,41669,60656,26162,1319249,585818,23324,16279,11815,13345,12677,12520,12285,11216,12699,24114,37041,58556,51722,44559,74078,169588,122488,585818,317451,208717,97470,8785,1856,623,268367,125080,110982,19452,10022,2831,2229,268367,9941,22565,33808,34561,30518,22852,15722,22545,64479,11376,999200,585818,225853,71390,29073,787,91598,12629,5915,1302,268367,119804,62391,11376,"Alameda County, California",,1188,2691,1231,936,970,982,932,986,864,863,1004,886,1000,776,839,1252,2057,1585,2821,747,3681,3604,2564,3053,3418,2567,7355,1633,1180,979,661,880,867,964,951,789,980,1160,1410,1877,1459,1400,1535,2336,1231,1633,2487,2604,1873,656,281,169,2186,2114,2385,1080,650,407,15,2186,797,1303,1528,1375,1220,1150,872,1453,1914,846,6699,1633,2251,1531,1135,197,1916,927,635,311,2186,2650,1863,846
3,1515,1423,356,44,9,6,7,34,10,0,23,15,20,19,8,24,17,88,32,1067,1515,91,117,20,50,84,78,1075,435,9,10,9,12,12,24,22,11,0,46,32,26,49,53,57,63,101125,435,360,283,75,1,1,0,75,36,32,7,0,0,,75,7,24,6,3,20,0,1,0,9,5,463900,435,163,36,21,0,197,21,5,0,75,10,9,5,"Alpine County, California",206,191,111,36,8,6,9,36,7,13,16,15,17,24,9,18,14,82,38,159,206,49,72,22,30,74,63,220,72,14,10,9,10,13,22,21,9,13,25,23,21,23,31,33,35,17442,72,65,57,42,2,3,13,34,24,25,10,13,13,,34,10,21,8,4,23,13,3,13,9,7,48254,72,59,26,22,13,48,17,10,13,34,9,9,7
5,40577,39599,8002,275,488,160,328,179,666,377,485,179,277,436,447,532,830,2199,144,31597,37571,1662,1283,1067,1531,1775,550,29703,15745,880,492,411,523,540,455,489,743,636,1349,1366,2313,1418,1208,1583,1339,74853,15745,12440,9674,2515,207,37,7,3305,2113,1010,94,88,0,1257,3305,26,198,390,396,348,363,348,353,465,418,409600,15745,7837,3061,1481,49,4603,743,407,84,3305,1456,465,418,"Amador County, California",,128,489,125,170,89,122,83,148,112,145,83,109,158,113,135,212,379,85,457,61,419,388,390,577,510,289,905,433,297,179,148,144,186,180,176,268,193,355,327,414,310,284,380,265,6048,433,554,544,417,90,33,11,453,398,251,66,76,28,93,453,40,116,186,173,151,198,212,144,152,250,14658,433,547,415,335,50,447,218,181,51,453,278,152,250
7,213605,206855,58722,2433,2731,2103,2395,2622,2390,2294,2115,1943,2611,2447,2556,2397,3000,22220,2465,148133,208718,18633,19382,10456,10427,11546,4579,133695,83319,4936,3741,3431,3768,4068,3772,3452,3093,2966,5469,7031,10426,7871,5137,6571,7587,66085,83319,48424,36497,10705,909,224,89,34895,20331,12640,1391,507,26,1280,34895,1212,2000,3397,3645,3839,2571,2397,3490,9811,2533,371600,83319,28897,8632,3434,165,19527,2760,1181,539,34895,17795,9512,2533,"Butte County, California",,379,1239,328,408,389,403,447,482,291,333,418,346,409,283,316,422,1128,447,1264,256,1280,1662,1513,1579,1184,696,2962,903,540,603,395,489,530,437,539,402,414,595,572,700,625,634,641,685,2261,903,1087,895,642,219,115,55,1363,1244,842,358,185,32,32,1363,339,360,529,484,638,439,399,418,742,443,6760,903,1013,633,489,100,924,361,249,228,1363,907,725,443
9,45674,44541,7597,267,411,491,520,490,315,435,272,444,215,472,605,491,422,1556,191,36944,45223,2566,3349,1059,2715,2325,747,32462,17198,768,520,498,575,664,679,489,782,557,1179,1601,2546,1812,1116,1610,1802,77526,17198,14114,11103,2786,160,51,14,3084,1798,1169,100,9,8,1621,3084,307,98,312,261,210,309,373,231,696,287,404200,17198,8309,3551,1666,46,5805,1314,572,115,3084,1557,683,287,"Calaveras County, California",,160,530,141,172,189,172,180,150,176,123,142,116,186,144,202,150,304,136,536,121,616,802,490,862,785,397,1571,559,222,174,186,183,180,184,170,214,191,262,334,488,276,274,350,353,3875,559,613,530,394,101,50,17,420,343,261,91,14,13,110,420,215,75,141,101,100,132,176,117,205,139,18018,559,677,461,353,63,465,249,176,96,420,346,203,139
11,21811,21090,5596,283,357,302,345,350,281,422,303,277,293,387,426,309,327,828,106,15494,21600,565,1799,1358,1161,1916,394,14407,7432,312,237,297,378,362,330,392,260,232,495,662,1233,559,467,655,561,69619,7432,4686,3299,1237,110,36,4,2746,1141,1371,174,37,23,1061,2746,308,199,260,520,198,204,219,180,404,254,360100,7432,2648,881,407,25,2038,315,44,43,2746,969,369,254,"Colusa County, California",,119,250,91,110,117,136,157,108,168,99,116,158,167,89,137,107,183,58,241,66,212,543,465,437,556,272,896,182,116,129,130,142,119,123,229,103,92,159,159,201,125,130,185,198,5745,182,275,306,225,68,40,6,285,231,219,101,38,26,73,285,161,89,83,213,98,102,95,79,122,92,16259,182,302,252,236,29,213,135,36,35,285,177,111,92
13,1162648,1125078,291746,16319,14450,14262,13327,13796,14089,14359,15101,14751,14446,15774,15895,17023,18055,66246,13853,833332,1153216,50386,44869,27487,32679,40568,20303,936924,408537,13696,9877,6868,7518,8689,8232,9368,8575,9055,18082,25691,43813,42368,33886,53204,109615,120020,408537,274388,197534,69716,5414,1079,645,134149,63819,54611,9429,4406,1884,2234,134149,3941,8537,14915,16674,13974,11714,10000,13799,33852,6743,787300,408537,198589,66150,27610,744,75799,10615,5672,785,134149,66991,32897,6743,"Contra Costa County, California",,945,2462,947,1034,1039,903,1024,808,963,899,962,935,955,737,885,1112,2003,920,2346,619,3741,3262,2983,3318,3422,2946,7265,1056,1073,971,732,709,965,732,880,889,699,1110,1506,1728,1494,1437,1796,1739,1496,1056,2473,2353,1944,559,244,251,2301,2167,1854,889,740,360,21,2301,528,783,1256,1151,987,1066,873,1096,1420,768,7496,1056,2634,1894,1438,205,1811,736,584,155,2301,2054,1427,768
15,27462,26823,6369,465,158,354,262,584,216,467,281,310,334,266,438,357,914,849,114,20454,25096,1657,1928,1527,1239,1749,511,16485,9530,313,761,503,373,356,451,335,323,557,679,922,1165,949,638,764,441,61149,9530,6492,4811,1540,108,18,15,3038,1648,1249,138,0,3,1146,3038,120,162,238,262,510,219,213,188,883,243,282500,9530,2918,650,286,0,3574,505,100,20,3038,1441,863,243,"Del Norte County, California",,114,412,173,91,167,116,224,100,142,122,149,127,114,124,95,295,229,78,398,148,540,443,476,396,486,174,825,265,135,253,166,140,126,137,145,141,173,166,221,212,222,193,254,138,4376,265,369,300,271,83,32,25,334,291,231,79,25,7,69,334,72,104,105,112,164,115,103,110,224,129,26102,265,333,172,100,25,360,187,48,23,334,290,223,129
17,191713,187256,41149,2622,2555,1639,1943,1652,2290,2189,2174,1916,2202,2318,2493,2472,2731,8174,1779,146107,190326,7277,9087,4793,4862,6937,3195,154175,75190,2808,1919,2331,1940,2063,1926,1874,1699,2258,3757,6236,9015,7995,6001,8180,15188,99246,75190,57235,45019,11334,613,177,92,17955,10448,6670,536,153,148,1597,17955,776,1492,1590,1823,1940,1599,958,1843,4811,1123,597600,75190,38443,12614,5085,242,18792,2993,1689,201,17955,8834,4745,1123,"El Dorado County, California",,301,1022,395,384,260,305,270,364,360,308,318,355,331,347,304,352,729,365,1003,227,993,1611,967,1038,930,805,2298,847,425,394,415,402,438,380,336,344,379,476,608,636,628,555,625,792,3330,847,1031,1143,812,196,112,79,944,847,553,195,95,106,57,944,252,344,346,371,280,324,250,415,613,266,11376,847,1074,875,446,101,947,415,292,126,944,758,603,266
19,1008280,967154,298774,13844,17328,15239,14294,15640,16034,17344,16568,14687,16693,16291,14587,15727,19175,63689,11634,668380,990821,85959,107716,54289,56926,70812,33388,581731,318322,19751,14293,11964,13008,14102,12739,12724,11024,12371,22315,29341,40104,30001,21836,25310,27439,67756,318322,172455,110859,52146,7058,1724,668,145867,59746,61978,12094,7167,4882,1207,145867,5696,10401,15658,16046,14298,12365,9819,13543,38249,9792,338200,318322,117663,34226,15318,807,54792,7152,3340,808,145867,71614,37413,9792,"Fresno County, California",,1254,2857,1225,999,998,1091,971,1064,1159,1153,976,897,1082,901,1012,1234,2033,1021,2889,897,4397,5421,3997,4362,4375,3188,7795,1104,1075,959,918,914,1096,838,941,837,895,1255,1404,1325,1300,1294,1375,1239,967,1104,2206,1741,1512,637,305,184,2240,1651,1885,786,760,623,14,2240,682,976,1125,1136,926,1085,848,1147,1532,768,3186,1104,1955,1391,1027,228,1738,605,471,309,2240,1847,1591,768
